============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(50 MeV) ==> None+None(  1 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  988  1 ,4094386E+08   1000000E+01  ,8006E+05 -,3545E+05   ,9998299 -,0057662 -,0175205
T  989  1 ,4086932E+08   1000000E+01  ,3107E+05  ,2122E+06   ,9995515 -,0013106  ,0299188
T  990  1 ,4070912E+08   1000000E+01  ,9677E+04 -,9466E+05   ,9994914 -,0042528 -,0316044
T  991  1 ,4115827E+08   1000000E+01  ,5683E+05  ,9604E+05   ,9989405  ,0272444  ,0370895
T  992  1 ,4081692E+08   1000000E+01  ,9306E+05 -,2135E+06   ,9992489  ,0172670 -,0346911
T  993  1 ,4085492E+08   1000000E+01 -,5192E+05 -,8917E+05   ,9986304 -,0419306 -,0312899
T  994  1 ,4060559E+08   1000000E+01  ,8604E+04 -,1975E+06   ,9991692 -,0049325 -,0404542
T  995  1 ,4073241E+08   1000000E+01  ,1360E+06 -,4546E+06   ,9972723  ,0107779 -,0730186
T  996  1 ,4068764E+08   1000000E+01  ,2447E+06  ,1106E+06   ,9993243  ,0297244  ,0216175
T  997  1 ,4091991E+08   1000000E+01 -,8685E+04 -,1097E+06   ,9998414  ,0061556 -,0167108
T  998  1 ,4020901E+08   1000000E+01  ,4251E+05  ,8269E+05   ,9998420  ,0148866  ,0097098
T  999  1 ,4055052E+08   1000000E+01  ,1902E+05  ,6175E+05   ,9999801 -,0048798  ,0039965
